timestamp,capture_ms,inference_ms,postprocess_ms,loop_ms,fps,num_detections,max_score
1773329437.0569406,371.367,26.448,0.015,401.616,2.49,0,0.000
1773329437.127861,35.581,16.881,0.015,69.037,14.49,0,0.000
1773329437.1952424,29.602,15.665,0.014,66.186,15.11,0,0.000
1773329437.2621133,32.568,15.046,0.013,65.070,15.37,0,0.000
1773329437.3274455,31.561,14.483,0.013,64.453,15.52,0,0.000
1773329437.3929358,31.552,14.968,0.014,64.100,15.60,0,0.000
1773329437.4588528,31.395,14.821,0.014,64.863,15.42,0,0.000
1773329437.5261953,31.806,14.279,0.014,66.122,15.12,0,0.000
1773329437.591222,30.668,14.253,0.014,64.187,15.58,0,0.000
1773329437.6578012,33.263,14.348,0.014,65.533,15.26,0,0.000
1773329437.7237196,32.681,14.339,0.014,65.045,15.37,0,0.000
1773329437.7893693,31.737,14.404,0.014,64.545,15.49,0,0.000
1773329437.85561,31.621,14.257,0.016,65.431,15.28,0,0.000
1773329437.9221802,32.688,16.791,0.021,65.481,15.27,0,0.000
1773329437.9887564,31.756,15.016,0.014,65.453,15.28,0,0.000
1773329438.055553,33.665,14.607,0.014,65.576,15.25,0,0.000
1773329438.1232734,31.899,14.473,0.021,66.894,14.95,0,0.000
1773329438.1890247,30.911,14.349,0.011,64.722,15.45,0,0.000
1773329438.2553508,33.283,15.884,0.018,64.947,15.40,0,0.000
1773329438.3220015,32.050,14.646,0.014,65.534,15.26,0,0.000
1773329438.3886495,34.360,14.771,0.016,65.219,15.33,0,0.000
1773329438.455456,32.722,14.851,0.022,65.711,15.22,0,0.000
1773329438.5220141,31.820,14.583,0.014,65.656,15.23,0,0.000
1773329438.588819,31.925,14.959,0.010,65.768,15.20,0,0.000
1773329438.655094,32.168,14.482,0.025,65.445,15.28,0,0.000
1773329438.7219024,32.257,14.446,0.013,65.812,15.19,0,0.000
1773329438.7883484,31.867,14.308,0.016,65.621,15.24,0,0.000
1773329438.8551092,34.574,14.634,0.021,65.731,15.21,0,0.000
1773329438.9222052,31.782,14.270,0.012,66.139,15.12,0,0.000
1773329438.988312,31.671,14.421,0.011,65.071,15.37,0,0.000
1773329439.056414,32.009,14.293,0.013,67.291,14.86,0,0.000
1773329439.1216958,30.612,14.283,0.014,64.231,15.57,0,0.000
